subject,arch,f1_macro,bal_acc
1,resnet,0.5551840916405262,0.5597518244386502
2,resnet,0.8408392164837566,0.8390656411043298
3,resnet,0.8374828825727152,0.8647133000680497
4,resnet,0.7282578971148025,0.7421864636080531
5,resnet,0.5620212419147826,0.5745058925987762
6,resnet,0.7199034847841594,0.7372281466376538
7,resnet,0.7257292747607517,0.7397220632221064
8,resnet,0.8049499183018128,0.8153906171348031
9,resnet,0.8061579340612931,0.8037281870157602
10,resnet,0.6935186719168973,0.7002947710184552
11,resnet,0.868079356305713,0.8950993267582825
12,resnet,0.7412239621910744,0.7920204795204795
13,resnet,0.9029544952133747,0.9110242948310421
14,resnet,0.8214944455125526,0.8304155005158037
15,resnet,0.7845036063460702,0.7769675043108436
16,resnet,0.8085383348387439,0.8410499222999224
17,resnet,0.7919459475018558,0.7893701826628656
18,resnet,0.7283135249436007,0.738312123922589
19,resnet,0.7977570722681976,0.8149654327565425
20,resnet,0.7856962891646132,0.7950781534148873
21,resnet,0.7462177696502997,0.7660049290692715
22,resnet,0.7830412335671195,0.8021593478377649
23,resnet,0.749147392052469,0.7524799456836215
24,resnet,0.6862586404785893,0.731172979203905
25,resnet,0.7566209623539848,0.8114982946110834
26,resnet,0.708719864336429,0.7280626718962856
27,resnet,0.7843252155282193,0.7921312427409988
28,resnet,0.7532017118236252,0.7570067053993295
29,resnet,0.7955845744848578,0.7877365987449064
30,resnet,0.7558545347610572,0.760797786173726
31,resnet,0.7033852252155527,0.7198291614800643
32,resnet,0.7195063189930907,0.7313726965660576
33,resnet,0.903063468961407,0.908389508253392
34,resnet,0.8764386133374936,0.8897327421353156
35,resnet,0.6726137188119499,0.6798096694656597
36,resnet,0.6016821946169773,0.5992797167778826
37,resnet,0.8478003774089667,0.8420877127730763
38,resnet,0.7850465517058133,0.7886248736097068
39,resnet,0.7287060357848888,0.7341955266955268
40,resnet,0.7809702965498342,0.7923627958760715
