subject,channel,alpha,f1,drop_pp
1,0,1.0,0.576212319352363,0.0
1,0,0.75,0.5787412192223254,-0.2528899869962409
1,0,0.5,0.558647987872336,1.7564331480026896
1,0,0.25,0.5500310983939548,2.6181220958408136
1,0,0.0,0.5258309326290221,5.03813867233408
1,1,1.0,0.576212319352363,0.0
1,1,0.75,0.5689688876986124,0.7243431653750521
1,1,0.5,0.5380646924112811,3.814762694108187
1,1,0.25,0.5302089192378906,4.600340011447235
1,1,0.0,0.492138876423871,8.407344292849196
1,2,1.0,0.576212319352363,0.0
1,2,0.75,0.5709891062468214,0.5223213105541524
1,2,0.5,0.5412302987713594,3.4982020581003526
1,2,0.25,0.4828860614698643,9.332625788249866
1,2,0.0,0.41948384104594216,15.672847830642079
1,3,1.0,0.576212319352363,0.0
1,3,0.75,0.5733766506927477,0.28356686596152647
1,3,0.5,0.5483767584568144,2.7835560895548506
1,3,0.25,0.5428220282716532,3.339029108070979
1,3,0.0,0.5063736931527443,6.983862619961867
1,4,1.0,0.576212319352363,0.0
1,4,0.75,0.5726744809623294,0.3537838390033521
1,4,0.5,0.5535683102041131,2.264400914824982
1,4,0.25,0.5309876893133713,4.522463003899169
1,4,0.0,0.48206632674976996,9.4145992602593
1,5,1.0,0.576212319352363,0.0
1,5,0.75,0.5534358618258484,2.277645752651458
1,5,0.5,0.5366859307452896,3.952638860707336
1,5,0.25,0.46895485625918,10.725746309318296
1,5,0.0,0.41431876268839407,16.18935566639689
1,6,1.0,0.576212319352363,0.0
1,6,0.75,0.5887458846493646,-1.253356529700167
1,6,0.5,0.5963590473938181,-2.014672804145512
1,6,0.25,0.5902993672513381,-1.4087047898975191
1,6,0.0,0.5852914779496431,-0.9079158597280146
1,7,1.0,0.576212319352363,0.0
1,7,0.75,0.5748462750173498,0.13660443350131946
1,7,0.5,0.5658036569388881,1.0408662413474823
1,7,0.25,0.5380212631576338,3.819105619472918
1,7,0.0,0.5095195790926341,6.669274025972882
1,8,1.0,0.576212319352363,0.0
1,8,0.75,0.5637953076558238,1.2417011696539193
1,8,0.5,0.536345123893762,3.9867195458600957
1,8,0.25,0.49888179184768433,7.733052750467861
1,8,0.0,0.4580663194026996,11.814599994966335
2,0,1.0,0.7951095356555473,0.0
2,0,0.75,0.7839893840941365,1.1120151561410774
2,0,0.5,0.788970184705927,0.613935094962037
2,0,0.25,0.7653245393553938,2.978499630015352
2,0,0.0,0.7153187101802538,7.979082547529348
2,1,1.0,0.7951095356555473,0.0
2,1,0.75,0.7427803258886121,5.2329209766935225
2,1,0.5,0.7321692439844981,6.29402916710492
2,1,0.25,0.6803738535097021,11.473568214584517
2,1,0.0,0.67338762132042,12.172191433512737
2,2,1.0,0.7951095356555473,0.0
2,2,0.75,0.7994694079879489,-0.43598723324015376
2,2,0.5,0.7806870331522671,1.4422502503280255
2,2,0.25,0.7168195158656101,7.8290019789937215
2,2,0.0,0.6176470307849398,17.746250487060756
2,3,1.0,0.7951095356555473,0.0
2,3,0.75,0.7955543151698332,-0.04447795142858979
2,3,0.5,0.781466926413991,1.3642609241556358
2,3,0.25,0.7675750597905125,2.753447586503477
2,3,0.0,0.7135978192148242,8.151171644072308
2,4,1.0,0.7951095356555473,0.0
2,4,0.75,0.8010525628815777,-0.5943027226030351
2,4,0.5,0.7741532121303113,2.095632352523602
2,4,0.25,0.7510269064020464,4.408262925350092
2,4,0.0,0.7290419221117219,6.60676135438254
2,5,1.0,0.7951095356555473,0.0
2,5,0.75,0.8073322448087698,-1.2222709153222433
2,5,0.5,0.7693779892097328,2.5731546445814546
2,5,0.25,0.7658632273923022,2.9246308263245147
2,5,0.0,0.7420842967656694,5.302523888987787
2,6,1.0,0.7951095356555473,0.0
2,6,0.75,0.79291711765818,0.21924179973673574
2,6,0.5,0.7696388613194522,2.5470674336095067
2,6,0.25,0.7516637684719264,4.344576718362092
2,6,0.0,0.7288875957374694,6.62219399180779
2,7,1.0,0.7951095356555473,0.0
2,7,0.75,0.7797883594295307,1.5321176226016586
2,7,0.5,0.7434984744764322,5.1611061179115065
2,7,0.25,0.6589296230167083,13.6179912638839
2,7,0.0,0.6125078755748716,18.260166008067568
2,8,1.0,0.7951095356555473,0.0
2,8,0.75,0.7964600937894056,-0.1350558133858315
2,8,0.5,0.7853830709811516,0.9726464674395752
2,8,0.25,0.7728525729672056,2.2256962688341764
2,8,0.0,0.7464744539382347,4.863508171731256
3,0,1.0,0.8770903352171363,0.0
3,0,0.75,0.8580813770148759,1.900895820226045
3,0,0.5,0.8395007039547397,3.758963126239656
3,0,0.25,0.6937637676621097,18.33265675550266
3,0,0.0,0.643889689116666,23.32006461004703
3,1,1.0,0.8770903352171363,0.0
3,1,0.75,0.860612399348454,1.6477935868682292
3,1,0.5,0.8389727732948876,3.811756192224869
3,1,0.25,0.8074791189798203,6.961121623731604
3,1,0.0,0.7367595947125507,14.033074050458561
3,2,1.0,0.8770903352171363,0.0
3,2,0.75,0.8617065807704617,1.5383754446674613
3,2,0.5,0.8438751398692509,3.321519534788542
3,2,0.25,0.8428225392515178,3.4267795965618464
3,2,0.0,0.8270131603846843,5.0077174832452
3,3,1.0,0.8770903352171363,0.0
3,3,0.75,0.7996246284304322,7.746570678670405
3,3,0.5,0.657088522455498,22.000181276163833
3,3,0.25,0.5993386781454431,27.775165707169325
3,3,0.0,0.5435761294449744,33.351420577216196
3,4,1.0,0.8770903352171363,0.0
3,4,0.75,0.8706311694918105,0.6459165725325788
3,4,0.5,0.8458718986289171,3.121843658821921
3,4,0.25,0.7995649708777898,7.752536433934654
3,4,0.0,0.7525088558418407,12.458147937529562
3,5,1.0,0.8770903352171363,0.0
3,5,0.75,0.8563818964028916,2.0708438814244667
3,5,0.5,0.8278981073432853,4.919222787385102
3,5,0.25,0.7692612835544517,10.782905166268463
3,5,0.0,0.6800557253078412,19.70346099092951
3,6,1.0,0.8770903352171363,0.0
3,6,0.75,0.8754711774682081,0.16191577489281794
3,6,0.5,0.8729402423931065,0.4150092824029783
3,6,0.25,0.8534853687568924,2.3604966460243904
3,6,0.0,0.8302651501327658,4.682518508437051
3,7,1.0,0.8770903352171363,0.0
3,7,0.75,0.8562275113020673,2.0862823915068995
3,7,0.5,0.8150674568794487,6.202287833768761
3,7,0.25,0.7555365356610118,12.155379955612455
3,7,0.0,0.6937124620328299,18.337787318430642
3,8,1.0,0.8770903352171363,0.0
3,8,0.75,0.8811671251371824,-0.407678992004612
3,8,0.5,0.8714764746267554,0.5613860590380937
3,8,0.25,0.8342851959361393,4.280513928099705
3,8,0.0,0.7575962031072152,11.94941321099211
4,0,1.0,0.7949977445767492,0.0
4,0,0.75,0.7580468829930976,3.6950861583651573
4,0,0.5,0.7619248775142722,3.307286706247703
4,0,0.25,0.725328947368421,6.96687972083282
4,0,0.0,0.6949438626076918,10.00538819690574
4,1,1.0,0.7949977445767492,0.0
4,1,0.75,0.7802511301034923,1.474661447325687
4,1,0.5,0.769910758847078,2.5086985729671163
4,1,0.25,0.7397142323712782,5.528351220547101
4,1,0.0,0.6763160826441186,11.868166193263063
4,2,1.0,0.7949977445767492,0.0
4,2,0.75,0.789834390787901,0.5163353788848246
4,2,0.5,0.773924961732981,2.1072782843768234
4,2,0.25,0.7552152964801491,3.9782448096600143
4,2,0.0,0.7259488199565889,6.904892462016033
4,3,1.0,0.7949977445767492,0.0
4,3,0.75,0.785058790670533,0.9938953906216241
