subject,base_consistency,cd_consistency,delta_consistency
1,0.42906,0.26282,-0.16624
2,0.12692,0.13718,0.01026
3,0.29316,0.21709,-0.07607
4,-0.26838,0.13248,0.40085
5,0.3359,-0.21624,-0.55214
6,0.45385,0.19615,-0.25769
7,0.24957,0.21496,-0.03462
8,0.36581,0.1359,-0.22991
9,0.35043,-0.06581,-0.41624
10,0.07308,0.08974,0.01667
11,0.17436,0.04744,-0.12692
12,0.41496,0.05812,-0.35684
13,0.37778,0.02564,-0.35214
14,0.39701,0.19957,-0.19744
15,0.3,0.01538,-0.28462
16,0.33846,0.21282,-0.12564
17,0.25342,0.24017,-0.01325
18,0.31923,0.30812,-0.01111
19,0.40385,0.31239,-0.09145
20,-0.18974,0.22265,0.41239
21,0.23419,0.25171,0.01752
22,0.34274,0.13889,-0.20385
23,0.4453,0.15769,-0.28761
24,0.24915,0.08974,-0.1594
25,0.38333,0.22265,-0.16068
26,0.39444,0.22393,-0.17051
27,0.46752,0.18291,-0.28462
28,0.42179,-0.17564,-0.59744
29,0.22906,0.17393,-0.05513
30,0.40897,0.20085,-0.20812
31,0.45214,0.30513,-0.14701
32,0.26068,0.16752,-0.09316
33,0.35085,0.18333,-0.16752
34,0.36068,0.24444,-0.11624
35,0.29274,0.01325,-0.27949
36,0.3906,0.20342,-0.18718
37,0.21709,0.04145,-0.17564
38,0.26966,0.06838,-0.20128
39,0.46111,0.07906,-0.38205
40,0.3812,0.14402,-0.23718
