model,scope,ece,brier,mean_max_confidence,accuracy,n
SVM,pooled,0.0322,0.2059,0.8874,0.8552,26347
SVM,DNS,0.1094,0.4784,0.7741,0.6677,4069
SVM,STDUP,0.0076,0.0465,0.9632,0.9685,14686
SVM,UPS,0.0642,0.3282,0.8275,0.7633,4550
SVM,WAK,0.0662,0.4284,0.7628,0.6966,3042
RF,pooled,0.0761,0.2246,0.775,0.8511,26347
RF,DNS,0.1196,0.5074,0.5809,0.6515,4069
RF,STDUP,0.0682,0.0595,0.9051,0.9732,14686
RF,UPS,0.0693,0.3597,0.6625,0.7312,4550
RF,WAK,0.1327,0.4414,0.5747,0.7074,3042
RESNET_SE,pooled,0.0191,0.1585,0.9114,0.8923,26347
RESNET_SE,DNS,0.045,0.3057,0.8394,0.7997,4069
RESNET_SE,STDUP,0.0055,0.0474,0.963,0.9685,14686
RESNET_SE,UPS,0.0829,0.325,0.8519,0.769,4550
RESNET_SE,WAK,0.0271,0.2495,0.8477,0.8327,3042
