ensemble,method,models,f1_mean,f1_sd,p_vs_current
SVM+RF+RESNET_SE [stacking],stacking,SVM+RF+RESNET_SE,0.8604146213227674,0.0615050129716309,0.24792719178185507
SVM+RF+RESNET_SE [stacking],stacking,SVM+RF+RESNET_SE,0.8604146213227674,0.0615050129716309,0.24792719178185507
SVM+RESNET_SE [stacking],stacking,SVM+RESNET_SE,0.8603751800063973,0.06282766527677422,0.2424468300960143
SVM+RESNET_SE [weighted_soft],weighted_soft,SVM+RESNET_SE,0.8588631992879524,0.06555207268900334,0.16606245817165655
SVM+RESNET_SE [soft],soft,SVM+RESNET_SE,0.8579340556847527,0.06485377370354428,
RF+RESNET_SE [stacking],stacking,RF+RESNET_SE,0.8557260791354029,0.06420517750000036,0.4358124383925315
RF+RESNET_SE [weighted_soft],weighted_soft,RF+RESNET_SE,0.8550900849568175,0.06663028497546804,0.30106151267864334
RF+RESNET_SE [soft],soft,RF+RESNET_SE,0.854560742946818,0.06758279469250374,0.20159339489509875
SVM+RF+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+RESNET_SE,0.844558952729115,0.06062612195728433,7.137441571103409e-07
SVM+RF+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+RESNET_SE,0.844558952729115,0.06062612195728433,7.137441571103409e-07
SVM+RF+RESNET_SE [soft],soft,SVM+RF+RESNET_SE,0.8420909729080502,0.05988975115235042,2.822944225044921e-07
SVM+RF+RESNET_SE [soft],soft,SVM+RF+RESNET_SE,0.8420909729080502,0.05988975115235042,2.822944225044921e-07
RF+RESNET_SE [hard],hard,RF+RESNET_SE,0.8415664782435744,0.06676393521110678,2.2706761228619143e-05
SVM+RESNET_SE [hard],hard,SVM+RESNET_SE,0.8415664782435744,0.06676393521110678,2.2706761228619143e-05
SVM+RF+RESNET_SE [hard],hard,SVM+RF+RESNET_SE,0.8194159631620419,0.05643242872212564,3.637978807091713e-12
SVM+RF+RESNET_SE [hard],hard,SVM+RF+RESNET_SE,0.8194159631620419,0.05643242872212564,3.637978807091713e-12
SVM+RF [soft],soft,SVM+RF,0.7866507350172673,0.053408741556115344,1.8189894035458565e-12
SVM+RF [soft],soft,SVM+RF,0.7866507350172673,0.053408741556115344,1.8189894035458565e-12
SVM+RF [weighted_soft],weighted_soft,SVM+RF,0.78657019743964,0.05338458958421356,1.8189894035458565e-12
SVM+RF [weighted_soft],weighted_soft,SVM+RF,0.78657019743964,0.05338458958421356,1.8189894035458565e-12
SVM+RF [stacking],stacking,SVM+RF,0.7863499303322071,0.05071021520871395,1.8189894035458565e-12
SVM+RF [stacking],stacking,SVM+RF,0.7863499303322071,0.05071021520871395,1.8189894035458565e-12
SVM+RF [hard],hard,SVM+RF,0.7768055857933529,0.05565433709517259,1.8189894035458565e-12
SVM+RF [hard],hard,SVM+RF,0.7768055857933529,0.05565433709517259,1.8189894035458565e-12
