ensemble,method,models,f1_mean,f1_sd,p_vs_current
SVM+RESNET_SE [stacking],stacking,SVM+RESNET_SE,0.8603751800063973,0.06282766527677422,0.2424468300960143
SVM+RF+RESNET_SE [stacking],stacking,SVM+RF+RESNET_SE,0.8597906742091037,0.062216455738355686,0.3753805605592788
SVM+RF+RESNET_SE [stacking],stacking,SVM+RF+RESNET_SE,0.8597906742091037,0.062216455738355686,0.3753805605592788
SVM+RESNET_SE [weighted_soft],weighted_soft,SVM+RESNET_SE,0.8588631992879524,0.06555207268900334,0.16606245817165655
SVM+RESNET_SE [soft],soft,SVM+RESNET_SE,0.8579340556847527,0.06485377370354428,
RF+RESNET_SE [stacking],stacking,RF+RESNET_SE,0.855167906481034,0.064022606990587,0.27069234351074556
RF+RESNET_SE [weighted_soft],weighted_soft,RF+RESNET_SE,0.8551113383632714,0.06644880305121904,0.2948169606661395
RF+RESNET_SE [soft],soft,RF+RESNET_SE,0.8537167053377296,0.06666616134642013,0.1058129653429205
SVM+RF+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+RESNET_SE,0.8421300335089302,0.059732732080597935,1.3044336810708046e-07
SVM+RF+RESNET_SE [weighted_soft],weighted_soft,SVM+RF+RESNET_SE,0.8421300335089302,0.059732732080597935,1.3044336810708046e-07
SVM+RESNET_SE [hard],hard,SVM+RESNET_SE,0.8415664782435744,0.06676393521110678,2.2706761228619143e-05
RF+RESNET_SE [hard],hard,RF+RESNET_SE,0.8415664782435744,0.06676393521110678,2.2706761228619143e-05
SVM+RF+RESNET_SE [soft],soft,SVM+RF+RESNET_SE,0.8387835006316273,0.05943769989082549,1.5819750842638314e-08
SVM+RF+RESNET_SE [soft],soft,SVM+RF+RESNET_SE,0.8387835006316273,0.05943769989082549,1.5819750842638314e-08
SVM+RF+RESNET_SE [hard],hard,SVM+RF+RESNET_SE,0.8187220341706075,0.05602049083924643,9.094947017729282e-12
SVM+RF+RESNET_SE [hard],hard,SVM+RF+RESNET_SE,0.8187220341706075,0.05602049083924643,9.094947017729282e-12
SVM+RF [soft],soft,SVM+RF,0.7879017583409247,0.05253120539421848,1.8189894035458565e-12
SVM+RF [soft],soft,SVM+RF,0.7879017583409247,0.05253120539421848,1.8189894035458565e-12
SVM+RF [weighted_soft],weighted_soft,SVM+RF,0.7878918964212979,0.052486260235388965,1.8189894035458565e-12
SVM+RF [weighted_soft],weighted_soft,SVM+RF,0.7878918964212979,0.052486260235388965,1.8189894035458565e-12
SVM+RF [stacking],stacking,SVM+RF,0.7853038016142648,0.05011395657698514,1.8189894035458565e-12
SVM+RF [stacking],stacking,SVM+RF,0.7853038016142648,0.05011395657698514,1.8189894035458565e-12
SVM+RF [hard],hard,SVM+RF,0.7768055857933529,0.05565433709517259,1.8189894035458565e-12
SVM+RF [hard],hard,SVM+RF,0.7768055857933529,0.05565433709517259,1.8189894035458565e-12
