model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,690,0.7318840579710145,0.6802573564791345,0.6708429792681361,"{'clf__C': 1, 'clf__gamma': 'scale'}",129.29762239998672,0.730298499984201,none,72
SVM,2,520,0.9173076923076923,0.8812819579354967,0.8729166904278644,"{'clf__C': 1, 'clf__gamma': 'scale'}",128.20690329995705,0.7381454997812398,none,72
SVM,3,594,0.8838383838383839,0.8406808124660367,0.8123476884987733,"{'clf__C': 1, 'clf__gamma': 'scale'}",129.16993009997532,0.760180999932345,none,72
SVM,4,556,0.8597122302158273,0.7772810769168189,0.7809203568641745,"{'clf__C': 1, 'clf__gamma': 'scale'}",136.31588589999592,0.8134015000541694,none,72
SVM,5,708,0.7570621468926554,0.7226378030046962,0.698487429709867,"{'clf__C': 1, 'clf__gamma': 'scale'}",127.54860169999301,0.7419305000803433,none,72
SVM,6,583,0.8113207547169812,0.7544841911088882,0.7460078974475345,"{'clf__C': 1, 'clf__gamma': 'scale'}",131.63268540002173,0.7656260000658222,none,72
SVM,7,600,0.8283333333333334,0.7866963573645421,0.7732346983942175,"{'clf__C': 1, 'clf__gamma': 'scale'}",133.00382470001932,0.7338294998044148,none,72
SVM,8,574,0.8397212543554007,0.7491808579017881,0.74807780287718,"{'clf__C': 1, 'clf__gamma': 'scale'}",128.89129140001023,0.7926430000225082,none,72
SVM,9,591,0.8274111675126904,0.7963274730041158,0.7909824919648527,"{'clf__C': 1, 'clf__gamma': 'scale'}",131.10838339995826,0.7797940002637915,none,72
SVM,10,509,0.831041257367387,0.7153225064409274,0.7102313419474202,"{'clf__C': 1, 'clf__gamma': 'scale'}",135.55934209999396,0.8094774998608045,none,72
SVM,11,518,0.9073359073359073,0.8765893282747215,0.8682620835916856,"{'clf__C': 1, 'clf__gamma': 'scale'}",132.5699799999711,0.7561895000981167,none,72
SVM,12,507,0.8757396449704142,0.8389110889110889,0.8270668452343122,"{'clf__C': 1, 'clf__gamma': 'scale'}",131.86777069995878,0.7739600000786595,none,72
SVM,13,752,0.9321808510638298,0.9049237531750098,0.8935695131978626,"{'clf__C': 1, 'clf__gamma': 'scale'}",135.71384010004112,0.7591849999153055,none,72
SVM,14,775,0.8709677419354839,0.8178568397510961,0.8058885232414644,"{'clf__C': 1, 'clf__gamma': 'scale'}",133.64091489999555,0.7991385000059381,none,72
SVM,15,610,0.8967213114754098,0.8563732418028159,0.834115365692586,"{'clf__C': 1, 'clf__gamma': 'scale'}",136.05281909997575,0.7667969999602064,none,72
SVM,16,681,0.869309838472834,0.8449585137085138,0.8171264214191113,"{'clf__C': 1, 'clf__gamma': 'scale'}",134.94592560001183,0.8124865000718273,none,72
SVM,17,703,0.8819345661450925,0.8103816914792525,0.8099535441017278,"{'clf__C': 1, 'clf__gamma': 'scale'}",134.71751450002193,0.7933524998952635,none,72
SVM,18,640,0.8828125,0.8258821846757893,0.8119286933746366,"{'clf__C': 1, 'clf__gamma': 'scale'}",132.29325739998603,0.761021499929484,none,72
SVM,19,716,0.8156424581005587,0.7673968570517483,0.7493323266051085,"{'clf__C': 1, 'clf__gamma': 'scale'}",132.71003100002417,0.7892795000225306,none,72
SVM,20,599,0.8263772954924875,0.7457574810952884,0.721121202384184,"{'clf__C': 1, 'clf__gamma': 'scale'}",133.4635402999702,0.7664429998840205,none,72
SVM,21,607,0.8467874794069192,0.779032497545951,0.7627346519666744,"{'clf__C': 1, 'clf__gamma': 'scale'}",130.25479410000844,0.8250834999489598,none,72
SVM,22,722,0.8102493074792244,0.7520429668667642,0.7409953852292037,"{'clf__C': 1, 'clf__gamma': 'scale'}",130.68226149998372,0.7540155001333915,none,72
SVM,23,704,0.7727272727272727,0.6912363015992978,0.6963617112667909,"{'clf__C': 1, 'clf__gamma': 'scale'}",129.4353499999852,0.7431150000775233,none,72
SVM,24,653,0.7993874425727412,0.7278892310238867,0.7011497642333242,"{'clf__C': 1, 'clf__gamma': 'scale'}",131.0660289999796,0.7876029997714795,none,72
SVM,25,616,0.8116883116883117,0.7847903004991367,0.7520582218447945,"{'clf__C': 1, 'clf__gamma': 'scale'}",131.49537650001002,0.7515580000472255,none,72
SVM,26,789,0.8174904942965779,0.7550797033432197,0.7276029762323566,"{'clf__C': 1, 'clf__gamma': 'scale'}",126.34723499999382,0.747648999968078,none,72
SVM,27,694,0.9149855907780979,0.8466518944320451,0.8471334964401774,"{'clf__C': 1, 'clf__gamma': 'scale'}",127.31932750000851,0.781624999945052,none,72
SVM,28,700,0.8671428571428571,0.805626601604082,0.802751648625109,"{'clf__C': 1, 'clf__gamma': 'scale'}",127.17992190003861,0.8117220000713132,none,72
