subject,arch,n_windows,acc,bal_acc,f1_macro,f1_macro_fold_sd,fit_time_sec
1,resnet_se,690,0.7753623188405797,0.6780840991367307,0.6624936912373209,0.23578669166722158,9.002296400009072
2,resnet_se,520,0.7903846153846155,0.6581759049773757,0.6894258192974207,0.1270432379245472,5.839120400007232
3,resnet_se,594,0.7963822817262499,0.6422881466359728,0.6557079396645877,0.06604927121416755,6.639313400009996
4,resnet_se,556,0.8509330759330759,0.7797916666666665,0.7441605564933016,0.15576024932589075,7.015216499989037
5,resnet_se,708,0.6907102187593648,0.5741476442727629,0.5778604324656003,0.07056121256640349,5.733660500001861
6,resnet_se,583,0.6348364279398762,0.4922852269562796,0.45046587430445567,0.12031927996292664,6.069828800013056
7,resnet_se,600,0.7183333333333334,0.5532062864671561,0.5524390562961077,0.15043707823082786,5.30912079999689
8,resnet_se,574,0.7126010678871091,0.5512870915347696,0.5675903866578791,0.09963433546430107,5.571249100001296
9,resnet_se,591,0.725751317476143,0.6377130407718643,0.6422960892167154,0.14442271521532948,6.269218800007366
10,resnet_se,509,0.6955736750145602,0.47382808346624133,0.4665434091698093,0.24716721673342348,5.781848500002525
11,resnet_se,518,0.7159073935772964,0.5649155773420479,0.5672711912154651,0.2537559151783206,5.399123499999405
12,resnet_se,507,0.8207338380896912,0.7103345568689996,0.719358028206087,0.17244010075670446,7.511577899989788
13,resnet_se,752,0.8245739514348787,0.6930082191867731,0.6769415780184344,0.21610516319508927,7.563121600003797
14,resnet_se,775,0.6270967741935484,0.3411172161172161,0.31376206130737533,0.17951025373318738,5.3076663999963785
15,resnet_se,610,0.7327868852459016,0.4873688510491916,0.5045829543626758,0.1654769756958575,5.485031899996102
16,resnet_se,681,0.7489158437097466,0.5623611573765638,0.597980151006494,0.0651370197896278,6.791510700000799
17,resnet_se,703,0.7524721377912866,0.5954101731601731,0.6085616504464012,0.18554076354914076,7.394372099995962
18,resnet_se,640,0.8046875,0.6768962540391831,0.6740585878177315,0.09468194283995704,5.915702999991481
19,resnet_se,716,0.763947163947164,0.5860293015610578,0.5942259594974192,0.0633563636823201,7.922097900009248
20,resnet_se,599,0.759593837535014,0.5799425033171164,0.541452026579363,0.049798602739768494,7.015842599997995
21,resnet_se,607,0.7183714943774556,0.5376720647773279,0.4963354251214291,0.1181572276410081,6.559906300011789
22,resnet_se,722,0.631360153256705,0.46632495535791685,0.4607689604863097,0.1234198647763125,6.023979200006579
23,resnet_se,704,0.654822695035461,0.5419917610117247,0.5219996269157005,0.04213610835482215,6.620154100004584
24,resnet_se,653,0.8943746330005873,0.8121127423301336,0.8322886699823263,0.1339763323299026,9.927757099998416
25,resnet_se,616,0.717571466037241,0.4614415045297398,0.4782521928836577,0.09262616749192822,6.104707699996652
26,resnet_se,789,0.6641135209223574,0.4425210084033614,0.44358724891669876,0.07251060571389065,5.374288400009391
27,resnet_se,694,0.8226775101657804,0.6766666666666666,0.6628185950323626,0.1871904784983816,8.400194799993187
28,resnet_se,700,0.8699999999999999,0.7941598806848168,0.7882158877774955,0.12872749276521445,9.647763999993913
29,resnet_se,736,0.748703805846663,0.5624487566740077,0.572713502393586,0.15549740764887593,6.3910133999888785
30,resnet_se,654,0.8638167938931298,0.7462184718734519,0.765351653298662,0.10136154813234814,6.324271699995734
31,resnet_se,758,0.622673405367724,0.3342602984176126,0.3059579546212869,0.06856339194631746,5.329702899995027
32,resnet_se,686,0.809013011742304,0.6741790817877774,0.6732582946062553,0.12004937976923918,8.222411000009743
33,resnet_se,692,0.7935668856219372,0.6584134248665141,0.6649556066413808,0.14342304257371788,5.232707400005893
34,resnet_se,632,0.803774528183977,0.6482258852258853,0.6326974133694608,0.07388023580582456,7.571199300000444
35,resnet_se,852,0.5528517371861025,0.3325558314442162,0.2856088234087363,0.045592176476466566,5.521280200002366
36,resnet_se,734,0.7096729102599943,0.5069412035836718,0.5009081228792186,0.1926122774390366,5.250408100007917
37,resnet_se,680,0.7014705882352941,0.4202516401297361,0.43264784111748594,0.08906700782633845,4.78927740000654
38,resnet_se,671,0.8985627418463238,0.7934007255214686,0.8096445178449864,0.15156445039473096,10.066186299998662
39,resnet_se,693,0.7735585444687729,0.49921060449698224,0.47499872164881535,0.27745317797932767,8.66111980000278
40,resnet_se,648,0.6883720930232557,0.3860119047619047,0.32251403592681577,0.09332419844445021,5.805972300004214
