model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,690,0.7057971014492753,0.5837179695556863,0.6009310280341358,"{'clf__max_depth': None, 'clf__n_estimators': 400}",237.82225430000108,0.33855949994176626,none,72
RF,2,520,0.8923076923076924,0.8253486027724416,0.8299371205678895,"{'clf__max_depth': None, 'clf__n_estimators': 200}",305.86577580001904,0.2434140001423657,none,72
RF,3,594,0.867003367003367,0.7966845464702021,0.7827311043706355,"{'clf__max_depth': None, 'clf__n_estimators': 500}",262.13827100000344,0.6322904999251477,none,72
RF,4,556,0.8597122302158273,0.7779703863540918,0.7919280010200302,"{'clf__max_depth': None, 'clf__n_estimators': 400}",289.60570280003594,0.35773250012425706,none,72
RF,5,708,0.7344632768361582,0.673944990680415,0.664063873111135,"{'clf__max_depth': None, 'clf__n_estimators': 400}",231.84689059999073,0.3319864999502897,none,72
RF,6,583,0.7890222984562607,0.7234473792210124,0.7194009611577734,"{'clf__max_depth': None, 'clf__n_estimators': 500}",286.1812049000291,0.4067245000624098,none,72
RF,7,600,0.8233333333333334,0.7473752352400993,0.7506796297462817,"{'clf__max_depth': None, 'clf__n_estimators': 500}",245.39797469996847,0.398622999782674,none,72
RF,8,574,0.8344947735191638,0.7531623415344345,0.7536779122254031,"{'clf__max_depth': None, 'clf__n_estimators': 500}",294.2040099000442,0.4044490001979284,none,72
RF,9,591,0.8121827411167513,0.7695144530160796,0.7745809061240532,"{'clf__max_depth': None, 'clf__n_estimators': 400}",241.3765587999951,0.2871394998510368,none,72
RF,10,509,0.8526522593320236,0.7369242599505759,0.7525771341638583,"{'clf__max_depth': None, 'clf__n_estimators': 400}",241.84806339995703,0.2852925000479445,none,72
RF,11,518,0.8976833976833977,0.8566514450519738,0.8574209461293106,"{'clf__max_depth': None, 'clf__n_estimators': 400}",286.51491550001083,0.292796999856364,none,72
RF,12,507,0.8698224852071006,0.7957042957042957,0.8085045391649344,"{'clf__max_depth': None, 'clf__n_estimators': 400}",241.22466070001246,0.2908895001746714,none,72
RF,13,752,0.9388297872340425,0.8948991748738022,0.8969261469261469,"{'clf__max_depth': None, 'clf__n_estimators': 500}",286.7303304000525,0.39731299999402836,none,72
RF,14,775,0.8412903225806452,0.7502520207057402,0.7562912931623066,"{'clf__max_depth': None, 'clf__n_estimators': 400}",236.48382349999156,0.34545699978480116,none,72
RF,15,610,0.8770491803278688,0.7989842066212063,0.7957778400000481,"{'clf__max_depth': None, 'clf__n_estimators': 400}",285.56149340001866,0.34483050025301054,none,72
RF,16,681,0.8883994126284875,0.8627455877455876,0.8418211434714556,"{'clf__max_depth': None, 'clf__n_estimators': 400}",237.9762527999701,0.33555350004462525,none,72
RF,17,703,0.8677098150782361,0.7777197057684863,0.785824475731308,"{'clf__max_depth': None, 'clf__n_estimators': 500}",284.06910819996847,0.3964439997798763,none,72
RF,18,640,0.85625,0.7653624718304951,0.7605081548041396,"{'clf__max_depth': None, 'clf__n_estimators': 500}",241.62567819998367,0.39327950013102964,none,72
RF,19,716,0.8449720670391061,0.7820077043891769,0.7749103942652329,"{'clf__max_depth': None, 'clf__n_estimators': 200}",276.5731671000249,0.23421999998390675,none,72
RF,20,599,0.8180300500834724,0.7193216164463071,0.6967225200805421,"{'clf__max_depth': None, 'clf__n_estimators': 500}",242.83254279999528,0.39249550027307123,none,72
RF,21,607,0.8813838550247117,0.7997658274330117,0.7995180303847524,"{'clf__max_depth': None, 'clf__n_estimators': 400}",242.25721479998901,0.3386830000090413,none,72
RF,22,722,0.8019390581717452,0.7309903951062995,0.7297994420604209,"{'clf__max_depth': None, 'clf__n_estimators': 500}",285.3269426000188,0.40501699986634776,none,72
RF,23,704,0.7840909090909091,0.7214638472235415,0.7175689674637042,"{'clf__max_depth': None, 'clf__n_estimators': 500}",248.58125000004657,0.40103600011207163,none,72
RF,24,653,0.8392036753445635,0.7483460120674588,0.7470657204826119,"{'clf__max_depth': None, 'clf__n_estimators': 500}",285.1901253000251,0.3951035000500269,none,72
RF,25,616,0.8538961038961039,0.7855749946804096,0.7787850072502291,"{'clf__max_depth': None, 'clf__n_estimators': 400}",238.43990619998658,0.28784850001102313,none,72
RF,26,789,0.8212927756653993,0.7421250085510441,0.7221649061581814,"{'clf__max_depth': None, 'clf__n_estimators': 400}",280.76125549996505,0.3454875000170432,none,72
RF,27,694,0.9034582132564841,0.8261065795318914,0.8314321254880652,"{'clf__max_depth': None, 'clf__n_estimators': 500}",240.55997830000706,0.4062364998389967,none,72
RF,28,700,0.8571428571428571,0.779419779705354,0.7863199208243015,"{'clf__max_depth': None, 'clf__n_estimators': 400}",282.54066749999765,0.34674149996135384,none,72
RF,29,736,0.845108695652174,0.7408342312690179,0.7502240930288898,"{'clf__max_depth': None, 'clf__n_estimators': 500}",239.90467239997815,0.3918474999954924,none,72
RF,30,654,0.8929663608562691,0.8101857415767191,0.8120355665127316,"{'clf__max_depth': None, 'clf__n_estimators': 500}",242.70584920002148,0.396525000105612,none,72
RF,31,758,0.8271767810026385,0.7151643048415973,0.7130337303116967,"{'clf__max_depth': None, 'clf__n_estimators': 400}",238.5121536999941,0.3668834999552928,none,72
RF,32,686,0.8513119533527697,0.7565925911629559,0.7497195569189338,"{'clf__max_depth': None, 'clf__n_estimators': 400}",238.26870260003489,0.2862204998382367,none,72
RF,33,692,0.903179190751445,0.8226994209662086,0.8254805441398324,"{'clf__max_depth': None, 'clf__n_estimators': 500}",284.48831469996367,0.40404400002444163,none,72
RF,34,632,0.8924050632911392,0.8585564870178841,0.8493069364813102,"{'clf__max_depth': None, 'clf__n_estimators': 400}",256.10628539999016,0.34931300004245713,none,72
RF,35,852,0.7875586854460094,0.7212377862006818,0.7055698114959349,"{'clf__max_depth': None, 'clf__n_estimators': 200}",316.1648226999678,0.2431814998271875,none,72
RF,36,734,0.840599455040872,0.7556464279891463,0.7430717041251986,"{'clf__max_depth': None, 'clf__n_estimators': 400}",238.37168109999038,0.3615390000049956,none,72
RF,37,680,0.9338235294117647,0.8748786284378018,0.8805123595284442,"{'clf__max_depth': None, 'clf__n_estimators': 500}",285.4348553000018,0.3955729998415336,none,72
RF,38,671,0.9076005961251863,0.8155913322408563,0.8243520432173871,"{'clf__max_depth': None, 'clf__n_estimators': 400}",238.66641129995696,0.2863255000556819,none,72
RF,39,693,0.8888888888888888,0.7418560606060606,0.7400517051651712,"{'clf__max_depth': None, 'clf__n_estimators': 500}",295.33507680002367,0.44612550002057105,none,72
RF,40,648,0.8966049382716049,0.7994057442178867,0.8039459999168626,"{'clf__max_depth': None, 'clf__n_estimators': 500}",248.8486187000526,0.4604585000197403,none,72
