model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,690,0.6956521739130435,0.572319149274733,0.5858038916969582,"{'clf__max_depth': None, 'clf__n_estimators': 400}",253.07352289999835,0.3395000001182779,none,72
RF,2,520,0.9076923076923076,0.8518901012240524,0.8548847400206216,"{'clf__max_depth': None, 'clf__n_estimators': 500}",244.69070929999,0.4022830000030808,none,72
RF,3,594,0.8653198653198653,0.7884205332217795,0.7798610063520621,"{'clf__max_depth': None, 'clf__n_estimators': 500}",291.4641647999524,0.3540555000654422,none,72
RF,4,556,0.8489208633093526,0.759786906821928,0.7704527628261917,"{'clf__max_depth': None, 'clf__n_estimators': 400}",242.01371029997244,0.336412499891594,none,72
RF,5,708,0.7161016949152542,0.6533315152460636,0.6391412638795927,"{'clf__max_depth': None, 'clf__n_estimators': 200}",227.9213585999678,0.1792595000006258,none,72
RF,6,583,0.7855917667238422,0.7167493876085311,0.7139581015501675,"{'clf__max_depth': None, 'clf__n_estimators': 500}",286.6685162999784,0.4060779997962527,none,72
RF,7,600,0.8183333333333334,0.7448236883176781,0.7477718761093324,"{'clf__max_depth': None, 'clf__n_estimators': 500}",244.02225219999676,0.4063060000771656,none,72
RF,8,574,0.837979094076655,0.7569502203223133,0.7564717166492019,"{'clf__max_depth': None, 'clf__n_estimators': 500}",291.69155689998297,0.3953919999185018,none,72
RF,9,591,0.8104906937394247,0.770704319103148,0.77144726527413,"{'clf__max_depth': None, 'clf__n_estimators': 500}",243.46328670001824,0.3874975000508129,none,72
RF,10,509,0.8546168958742633,0.7379544797307956,0.7517219485018347,"{'clf__max_depth': None, 'clf__n_estimators': 400}",289.0817640000023,0.2929074998246506,none,72
RF,11,518,0.8996138996138996,0.8557563168270372,0.8579505221094642,"{'clf__max_depth': None, 'clf__n_estimators': 500}",245.54547099996125,0.3969415000756271,none,72
RF,12,507,0.8717948717948718,0.797795954045954,0.8158824864159613,"{'clf__max_depth': None, 'clf__n_estimators': 500}",298.4190723999636,0.3982990002259612,none,72
RF,13,752,0.9414893617021276,0.8982724977236259,0.9009517230916784,"{'clf__max_depth': None, 'clf__n_estimators': 500}",267.6448233000119,0.5129664999549277,none,72
RF,14,775,0.8464516129032258,0.7579591708210942,0.7647272316113843,"{'clf__max_depth': None, 'clf__n_estimators': 500}",250.9201891999692,0.3854045001207851,none,72
RF,15,610,0.8770491803278688,0.8047916610378031,0.799837904685873,"{'clf__max_depth': None, 'clf__n_estimators': 500}",294.4062440999551,0.3946205001557246,none,72
RF,16,681,0.882525697503671,0.8558968808968809,0.8336313715961309,"{'clf__max_depth': None, 'clf__n_estimators': 500}",256.416484699992,0.3917060000821948,none,72
RF,17,703,0.8662873399715505,0.7767219230633865,0.7850039857826141,"{'clf__max_depth': None, 'clf__n_estimators': 500}",284.6151637000148,0.4050240002106875,none,72
RF,18,640,0.8546875,0.7638233859164092,0.7587084688528646,"{'clf__max_depth': None, 'clf__n_estimators': 500}",244.38991339999484,0.4428134998306632,none,72
RF,19,716,0.8533519553072626,0.7899640346503471,0.7841123319461276,"{'clf__max_depth': None, 'clf__n_estimators': 500}",243.7507859999896,0.3927010000916198,none,72
RF,20,599,0.8096828046744574,0.7141453625636652,0.6919324363737811,"{'clf__max_depth': None, 'clf__n_estimators': 400}",287.6203393000178,0.3428449999773875,none,72
