model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode,aug_mode
CNN,1,0.6294336896026554,0.6459266627188626,690,X_env,per_subject,none
CNN,2,0.7881723572630069,0.7916773433395696,520,X_env,per_subject,none
CNN,3,0.7664585282021589,0.8147427049127791,594,X_env,per_subject,none
CNN,4,0.7505618533759655,0.7594690150643979,556,X_env,per_subject,none
CNN,5,0.5657373715733169,0.5818206407336117,708,X_env,per_subject,none
CNN,6,0.7147537695453872,0.7253247919151502,583,X_env,per_subject,none
CNN,7,0.7244479286621595,0.7317969666895902,600,X_env,per_subject,none
CNN,8,0.7355496199219015,0.7560408583664399,574,X_env,per_subject,none
CNN,9,0.7054690273899181,0.7331288080819636,591,X_env,per_subject,none
CNN,10,0.7070406491429914,0.7034758005152743,509,X_env,per_subject,none
CNN,11,0.8809602650311115,0.9047681994145973,518,X_env,per_subject,none
CNN,12,0.8090021606680935,0.8350087412587412,507,X_env,per_subject,none
CNN,13,0.9017327601215326,0.9039891462348317,752,X_env,per_subject,none
CNN,14,0.7840320784062564,0.7882356936878672,775,X_env,per_subject,none
CNN,15,0.8340206627564027,0.8447482616337353,610,X_env,per_subject,none
CNN,16,0.8358371650547012,0.8764714452214453,681,X_env,per_subject,none
CNN,17,0.8148258731215134,0.8205645303206279,703,X_env,per_subject,none
CNN,18,0.7592749330199954,0.7700179907302,640,X_env,per_subject,none
CNN,19,0.8174981227500204,0.8289106063788666,716,X_env,per_subject,none
CNN,20,0.7756146235701558,0.7938619724771223,599,X_env,per_subject,none
CNN,21,0.7559582125730491,0.774911137766073,607,X_env,per_subject,none
CNN,22,0.7683817180485002,0.7744787078096151,722,X_env,per_subject,none
CNN,23,0.7332837005277363,0.7479514131229326,704,X_env,per_subject,none
CNN,24,0.720953568155297,0.7655748267126826,653,X_env,per_subject,none
CNN,25,0.7621718753978024,0.8199694770951855,616,X_env,per_subject,none
CNN,26,0.6915033875309055,0.7282749737683402,789,X_env,per_subject,none
CNN,27,0.8547612009060834,0.8591223901047438,694,X_env,per_subject,none
CNN,28,0.7407469629462933,0.7466480520494881,700,X_env,per_subject,none
CNN,29,0.7791021335900552,0.7709636046015829,736,X_env,per_subject,none
CNN,30,0.8402258176119997,0.8418207732117506,654,X_env,per_subject,none
CNN,31,0.681963303877898,0.7046492127890089,758,X_env,per_subject,none
CNN,32,0.6741393279335892,0.6896065838049208,686,X_env,per_subject,none
CNN,33,0.8508728613016775,0.8637228847982024,692,X_env,per_subject,none
CNN,34,0.8351543288617951,0.8518574256625727,632,X_env,per_subject,none
CNN,35,0.6879987676905109,0.717756258881391,852,X_env,per_subject,none
CNN,36,0.6542938422279394,0.6771069885523298,734,X_env,per_subject,none
CNN,37,0.874727550107105,0.8674115734443846,680,X_env,per_subject,none
CNN,38,0.7527698806710862,0.7834451960066479,671,X_env,per_subject,none
CNN,39,0.7719405531774829,0.7791883116883118,693,X_env,per_subject,none
CNN,40,0.7605985502092554,0.7754903723910436,648,X_env,per_subject,none
