subject,model,condition,n_stdup_train,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
1,SVM,imbalanced,14348,0.6708429792681361,0.5658914728682171,0.8621700879765396,0.5855855855855856,0.6697247706422018
1,RF,imbalanced,14348,0.6050465904124441,0.4,0.8442728442728443,0.5934959349593496,0.5824175824175825
1,SVM,balanced,3770,0.6720333837378343,0.5770750988142292,0.8596750369276218,0.5818181818181818,0.6695652173913044
1,RF,balanced,3770,0.6310395509637772,0.5822784810126582,0.8603988603988604,0.532258064516129,0.5492227979274611
2,SVM,imbalanced,14395,0.8729166904278644,0.7432432432432432,0.9878682842287695,0.8131868131868132,0.9473684210526315
2,RF,imbalanced,14395,0.8569064790406387,0.7034482758620689,0.9897260273972602,0.8064516129032258,0.928
2,SVM,balanced,3811,0.8785704924985053,0.7466666666666667,0.9861111111111112,0.819672131147541,0.9618320610687023
2,RF,balanced,3811,0.8374542498161481,0.6838709677419355,0.9789473684210527,0.7807486631016043,0.90625
3,SVM,imbalanced,14340,0.8123476884987733,0.7195767195767195,0.9767441860465116,0.8148148148148148,0.738255033557047
3,RF,imbalanced,14340,0.7817590815019367,0.6486486486486487,0.9661971830985916,0.8192771084337349,0.6929133858267716
3,SVM,balanced,3804,0.8166856220720458,0.7346938775510204,0.9782293178519593,0.8227848101265823,0.7310344827586207
3,RF,balanced,3804,0.7937666431955398,0.694300518134715,0.9740634005763689,0.783625730994152,0.7230769230769231
4,SVM,imbalanced,14382,0.7809203568641745,0.6198830409356725,0.9622331691297209,0.8695652173913043,0.672
4,RF,imbalanced,14382,0.7956766961267435,0.632768361581921,0.9468599033816425,0.9081632653061225,0.6949152542372882
4,SVM,balanced,3803,0.7820385096435037,0.6171428571428571,0.9522240527182867,0.8712871287128713,0.6875
4,RF,balanced,3803,0.7536704175384836,0.5314009661835749,0.9128205128205128,0.8866995073891626,0.6837606837606838
5,SVM,imbalanced,14375,0.698487429709867,0.5,0.9088098918083463,0.7123287671232876,0.6728110599078341
5,RF,imbalanced,14375,0.6558059193536072,0.4583333333333333,0.884393063583815,0.6643356643356644,0.6161616161616161
