feature_idx,family,icc_mine_pooled,icc_fcheck_pooled,abs_diff
0,MAV,0.2254592245090682,0.2254592245090682,0.0
1,MAV,0.24633965887544768,0.24633965887544762,5.551115123125783e-17
2,MAV,0.12967722141946667,0.12967722141946664,2.7755575615628914e-17
3,MAV,0.1976756960523523,0.19767569605235227,2.7755575615628914e-17
4,MAV,0.21943565902538803,0.21943565902538803,0.0
5,MAV,0.16197751104957314,0.16197751104957314,0.0
6,MAV,0.18722078138127823,0.18722078138127823,0.0
7,MAV,0.1956173586960258,0.1956173586960258,0.0
8,MAV,0.15811033931240612,0.15811033931240615,2.7755575615628914e-17
9,RMS,0.24040070445381484,0.24040070445381484,0.0
10,RMS,0.271575849381684,0.27157584938168405,5.551115123125783e-17
11,RMS,0.1316280328574092,0.13162803285740923,2.7755575615628914e-17
12,RMS,0.21231897136973307,0.21231897136973302,5.551115123125783e-17
13,RMS,0.2305988298390111,0.2305988298390111,0.0
14,RMS,0.1693485034968684,0.16934850349686836,2.7755575615628914e-17
15,RMS,0.17577727970051946,0.17577727970051946,0.0
16,RMS,0.22391798282686579,0.22391798282686576,2.7755575615628914e-17
17,RMS,0.16421070799296478,0.16421070799296478,0.0
18,WL,0.28654073719383727,0.2865407371938373,5.551115123125783e-17
19,WL,0.2841422050651309,0.2841422050651309,0.0
20,WL,0.29624383591630044,0.2962438359163005,5.551115123125783e-17
21,WL,0.21511430730142614,0.21511430730142617,2.7755575615628914e-17
22,WL,0.21372850576842645,0.2137285057684265,5.551115123125783e-17
23,WL,0.16075714883357495,0.16075714883357498,2.7755575615628914e-17
24,WL,0.16265217287887623,0.16265217287887623,0.0
25,WL,0.17748101880964964,0.1774810188096497,5.551115123125783e-17
26,WL,0.16588482310884609,0.165884823108846,8.326672684688674e-17
27,ZC,0.3772205184711185,0.3772205184711186,1.1102230246251565e-16
28,ZC,0.27248526959309954,0.2724852695930995,5.551115123125783e-17
29,ZC,0.6858193611747114,0.6858193611747117,2.220446049250313e-16
30,ZC,0.4023856980286974,0.4023856980286974,0.0
31,ZC,0.518408518145703,0.518408518145703,0.0
32,ZC,0.40066936992008306,0.4006693699200832,1.1102230246251565e-16
33,ZC,0.4602790342340334,0.46027903423403305,3.3306690738754696e-16
34,ZC,0.3407955038940446,0.3407955038940446,0.0
35,ZC,0.43363608045403546,0.43363608045403546,0.0
36,WAMP,0.021066821559106937,0.02106682155910622,7.181755190543981e-16
37,WAMP,0.024601216291698695,0.024601216291700163,1.4675760606763788e-15
38,WAMP,0.04117719558813899,0.04117719558813839,5.967448757360216e-16
39,WAMP,0.0189485806335099,0.018948580633510095,1.942890293094024e-16
40,WAMP,0.03263159325261121,0.03263159325261111,9.71445146547012e-17
41,WAMP,0.019094951254587322,0.01909495125458756,2.393918396847994e-16
42,WAMP,0.017430760341336983,0.017430760341336234,7.494005416219807e-16
43,WAMP,0.01540305449935375,0.015403054499352604,1.1466522176206695e-15
44,WAMP,0.01205798861980879,0.012057988619807683,1.106753577673203e-15
45,MNF,0.44238130853545565,0.44238130853545565,0.0
46,MNF,0.3039579236263773,0.30395792362637725,5.551115123125783e-17
47,MNF,0.6523101705561747,0.6523101705561748,1.1102230246251565e-16
48,MNF,0.39409283327352185,0.3940928332735218,5.551115123125783e-17
49,MNF,0.5292159850524496,0.5292159850524496,0.0
50,MNF,0.4477040100938624,0.4477040100938623,1.1102230246251565e-16
51,MNF,0.45240209834306677,0.45240209834306666,1.1102230246251565e-16
52,MNF,0.3539395303363695,0.3539395303363695,0.0
53,MNF,0.3720990123255596,0.37209901232555964,5.551115123125783e-17
54,MDF,0.40639022635953226,0.40639022635953215,1.1102230246251565e-16
55,MDF,0.25662525740172226,0.2566252574017222,5.551115123125783e-17
56,MDF,0.6092181090360483,0.6092181090360482,1.1102230246251565e-16
57,MDF,0.34663840271438034,0.34663840271438034,0.0
58,MDF,0.4614455614500781,0.46144556145007803,5.551115123125783e-17
59,MDF,0.396018902833304,0.396018902833304,0.0
60,MDF,0.4069853577973741,0.4069853577973742,1.1102230246251565e-16
61,MDF,0.3060127971683576,0.30601279716835744,1.6653345369377348e-16
62,MDF,0.28929358250594395,0.28929358250594395,0.0
63,SP,0.24725970561750893,0.24725970561750896,2.7755575615628914e-17
64,SP,0.24617953836096662,0.24617953836096662,0.0
65,SP,0.16662091888897673,0.16662091888897673,0.0
66,SP,0.2387183759051332,0.23871837590513326,5.551115123125783e-17
67,SP,0.3038441327748296,0.30384413277482947,1.1102230246251565e-16
68,SP,0.19458644515882095,0.194586445158821,5.551115123125783e-17
69,SP,0.2072925868179473,0.20729258681794724,5.551115123125783e-17
70,SP,0.1465471939780211,0.14654719397802113,2.7755575615628914e-17
71,SP,0.15069064371751156,0.15069064371751154,2.7755575615628914e-17
