subject,arch,f1_macro,bal_acc
1,resnet_nores,0.6702832523489078,0.6766057702726561
2,resnet_nores,0.8731694935548877,0.8751327793665336
3,resnet_nores,0.8764354003903978,0.89725061500472
4,resnet_nores,0.8681947197483645,0.8741920265477581
5,resnet_nores,0.663073728908236,0.6779493459481932
6,resnet_nores,0.7092511762566132,0.7144179181682548
7,resnet_nores,0.7535092208741139,0.75569904915643
8,resnet_nores,0.8105046634264873,0.8333336237406005
9,resnet_nores,0.8098261288503118,0.8076319861010817
10,resnet_nores,0.764200531000846,0.7721275435091224
11,resnet_nores,0.8823991066972259,0.9134595411198188
12,resnet_nores,0.8943186674026461,0.9095904095904096
13,resnet_nores,0.8849208876307779,0.893809366115635
14,resnet_nores,0.8226413742308138,0.8301285298081948
15,resnet_nores,0.9004554040452785,0.9134188556884083
16,resnet_nores,0.8194784565352835,0.8498168498168499
17,resnet_nores,0.8479433429181881,0.8500756695878646
18,resnet_nores,0.8790702351008187,0.8889575540738331
19,resnet_nores,0.828982754897499,0.8415259298842516
20,resnet_nores,0.776300024004703,0.7945371814839643
21,resnet_nores,0.8644004094253805,0.8739882479737053
22,resnet_nores,0.8344487334511008,0.8524757906955908
23,resnet_nores,0.8371168548295668,0.8465903302896521
24,resnet_nores,0.7636697221348965,0.8164986543655711
25,resnet_nores,0.8542226892709288,0.8927020835946329
26,resnet_nores,0.7887799621948812,0.8065461414339649
27,resnet_nores,0.9101509945092906,0.9061271322061476
28,resnet_nores,0.7882843741081229,0.8049184098466083
29,resnet_nores,0.836675915765135,0.839587109863301
30,resnet_nores,0.8135896306526542,0.813483196001993
31,resnet_nores,0.7426355210760148,0.7696614133107428
32,resnet_nores,0.8209889256843119,0.8351489519252677
33,resnet_nores,0.8702098760219226,0.8735904416212946
34,resnet_nores,0.886587879798435,0.9071812917474682
35,resnet_nores,0.7357628973229362,0.7492038078553018
36,resnet_nores,0.7216595005895595,0.7478889718641186
37,resnet_nores,0.8788989533707692,0.8752953171508041
38,resnet_nores,0.8174865701985669,0.842911393140639
39,resnet_nores,0.8028898267194469,0.815021645021645
40,resnet_nores,0.786355000715122,0.7859005154910612
