subject,arch,f1_macro,bal_acc
1,resnet,0.5415177127365929,0.5373342357968086
2,resnet,0.8760429264799314,0.8781807083092847
3,resnet,0.899760128644383,0.9081308035057476
4,resnet,0.8195374965536255,0.805049739026201
5,resnet,0.6465918769214629,0.6668926636468953
6,resnet,0.770097179078163,0.7830956798435925
7,resnet,0.7442766957374185,0.7539338047057629
8,resnet,0.851070025508101,0.8659066708485313
9,resnet,0.8448305411051259,0.8397352651685768
10,resnet,0.7776391056028633,0.7892748698669751
11,resnet,0.9276090858606196,0.9430662969988812
12,resnet,0.9064456158906791,0.9100274725274725
13,resnet,0.9199695074700573,0.9258005647614198
14,resnet,0.8193835352661621,0.8261034425281312
15,resnet,0.9143093020939657,0.9290073698277672
16,resnet,0.8376026519118971,0.8614413364413364
17,resnet,0.8400263823792943,0.8371511280047865
18,resnet,0.8802024320696483,0.87783749680552
19,resnet,0.8477378416972864,0.865953703939168
20,resnet,0.8169487504704537,0.8295698584063395
21,resnet,0.8332825076202834,0.8432599156553182
22,resnet,0.8054968208362959,0.8090243462511801
23,resnet,0.8362082517298524,0.846300797996943
24,resnet,0.8095583527983092,0.8565200363713384
25,resnet,0.8596971506887015,0.8805519597620568
26,resnet,0.8036959431099973,0.8179242063869854
27,resnet,0.870560486946029,0.8662771560236998
28,resnet,0.854565054008869,0.8529536082571331
29,resnet,0.8568829480816179,0.853795661933608
30,resnet,0.80694803908161,0.8038089729819052
31,resnet,0.7993912006308923,0.8173402526451672
32,resnet,0.8542326235804779,0.8636968842560948
33,resnet,0.9084292904893682,0.9125481807968195
34,resnet,0.9218655759847753,0.9309306992027581
35,resnet,0.7529716397494749,0.7662838925061888
36,resnet,0.8246509646819195,0.8435642155492669
37,resnet,0.8857934990717873,0.8822562660873409
38,resnet,0.8723110171377998,0.8920974105970271
39,resnet,0.8496580504715827,0.858924963924964
40,resnet,0.8328029296521451,0.8327205882352942
