model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,410,0.7707317073170732,0.703749614554425,0.7125909519464568,"{'clf__C': 1, 'clf__gamma': 'scale'}",108.934218600014,0.9665384999243544,none,72
SVM,2,300,0.9133333333333333,0.8540030135610246,0.8547801729387408,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.55122749999282,0.670634499983862,none,72
SVM,3,337,0.8961424332344213,0.8417144961956282,0.8062725682690138,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.61552910000319,0.7405389999621548,none,72
SVM,4,321,0.8753894080996885,0.7930996150506029,0.7938290480497294,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.35605059997761,0.6382044999918435,none,72
SVM,5,423,0.7635933806146572,0.7197542862838916,0.700117230146656,"{'clf__C': 1, 'clf__gamma': 'scale'}",54.74882239999715,0.569623000046704,none,72
SVM,6,331,0.8308157099697885,0.7517721575772633,0.7458302503225084,"{'clf__C': 1, 'clf__gamma': 'scale'}",56.592559999990044,0.6680775000131689,none,72
SVM,7,339,0.8997050147492626,0.8870571436281298,0.8703656784641505,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.123071899986826,0.774822499952279,none,72
SVM,8,335,0.8656716417910447,0.7598037138584247,0.7569009960535384,"{'clf__C': 1, 'clf__gamma': 'scale'}",57.50841270000092,0.6044590000237804,none,72
SVM,9,344,0.877906976744186,0.8598194996422734,0.8550352591678185,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.948209599999245,0.6564390000130516,none,72
SVM,10,298,0.8859060402684564,0.772606119844974,0.7686927466596288,"{'clf__C': 1, 'clf__gamma': 'scale'}",55.07713719998719,0.6617430000915192,none,72
SVM,11,298,0.9395973154362416,0.922979797979798,0.9155724217333482,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.45018590000109,0.5513369999243878,none,72
