window_ms,model,norm,n,f1_mean,f1_sd,ci_low,ci_high
150,ResNet-SE+CD,global,40,0.7195830226442717,0.08738121157381983,0.6910275763609608,0.7448685853416542
150,ResNet-SE+CD,per_subject,40,0.7834134990145942,0.0646478429456004,0.7611235153438582,0.8011263903688464
150,SVM,global,40,0.6816624518253518,0.07271752668118284,0.657995543970253,0.7030186730635868
150,SVM,per_subject,40,0.747472858821282,0.051538863149046564,0.7315930309964689,0.762931436401846
250,ResNet-SE+CD,global,40,0.7722576082250574,0.0923914299292727,0.7401772120266147,0.7971313778228283
250,ResNet-SE+CD,per_subject,40,0.8394900592540072,0.06708925447433954,0.8157768190205478,0.8573952943345037
250,SVM,global,40,0.7080048834783753,0.0684607708945004,0.685019822938913,0.7272677198597706
250,SVM,per_subject,40,0.776700141407124,0.0547264767402714,0.7607169251708724,0.7939605462416255
400,ResNet-SE+CD,global,40,0.8041136664808294,0.0907337305602222,0.7733104019207695,0.8298200664542563
400,ResNet-SE+CD,per_subject,40,0.8598766107888934,0.06773394149694167,0.8379785056840171,0.8793465695709387
400,SVM,global,40,0.7342353623314566,0.07481760098993716,0.7091672136627051,0.7555640267300221
400,SVM,per_subject,40,0.8014062571760897,0.06511400188843958,0.7823422764857039,0.822176697349592
