subject,N,draw,model,n_labeled,n_test,f1_A_subject_only,f1_B_crosssubject_zero_label,f1_C_crosssubject_plus_labels
1,5,first,SVM,20,670,0.5863,0.6693,0.681
1,5,first,RF,20,670,0.6027,0.6072,0.6002
1,5,rand0,SVM,20,670,0.6748,0.6693,0.6837
1,5,rand0,RF,20,670,0.6576,0.6065,0.6203
1,5,rand1,SVM,20,670,0.8153,0.6651,0.6972
1,5,rand1,RF,20,670,0.7436,0.6027,0.6381
1,5,rand2,SVM,20,670,0.6694,0.6691,0.7045
1,5,rand2,RF,20,670,0.6869,0.5986,0.631
1,5,rand3,SVM,20,670,0.7186,0.6651,0.6921
1,5,rand3,RF,20,670,0.7512,0.6039,0.6057
1,5,rand4,SVM,20,670,0.7801,0.6718,0.7121
1,5,rand4,RF,20,670,0.7248,0.5982,0.6449
1,10,first,SVM,40,650,0.7578,0.6684,0.7051
1,10,first,RF,40,650,0.7492,0.6126,0.6533
1,10,rand0,SVM,40,650,0.825,0.6697,0.7139
1,10,rand0,RF,40,650,0.789,0.6078,0.6472
1,10,rand1,SVM,40,650,0.7675,0.6742,0.7502
1,10,rand1,RF,40,650,0.736,0.6013,0.6731
1,10,rand2,SVM,40,650,0.8315,0.6696,0.7255
1,10,rand2,RF,40,650,0.8681,0.6041,0.6581
1,10,rand3,SVM,40,650,0.8143,0.6736,0.7474
1,10,rand3,RF,40,650,0.8395,0.6034,0.6603
1,10,rand4,SVM,40,650,0.747,0.6767,0.7331
1,10,rand4,RF,40,650,0.7506,0.6219,0.686
1,20,first,SVM,80,610,0.7594,0.6662,0.7597
1,20,first,RF,80,610,0.7337,0.6189,0.7088
1,20,rand0,SVM,80,610,0.8816,0.6835,0.7999
1,20,rand0,RF,80,610,0.8475,0.6065,0.6878
1,20,rand1,SVM,80,610,0.8469,0.6897,0.8099
1,20,rand1,RF,80,610,0.8268,0.6129,0.7435
1,20,rand2,SVM,80,610,0.8607,0.6529,0.7481
1,20,rand2,RF,80,610,0.8545,0.5996,0.7008
1,20,rand3,SVM,80,610,0.8301,0.6632,0.7704
1,20,rand3,RF,80,610,0.8197,0.6009,0.6854
1,20,rand4,SVM,80,610,0.8842,0.6685,0.7743
1,20,rand4,RF,80,610,0.8723,0.6022,0.7101
1,50,first,SVM,200,490,0.8812,0.6273,0.7512
1,50,first,RF,200,490,0.8294,0.6044,0.7347
1,50,rand0,SVM,200,490,0.9406,0.6471,0.8088
1,50,rand0,RF,200,490,0.912,0.6277,0.8201
1,50,rand1,SVM,200,490,0.9357,0.6833,0.8295
1,50,rand1,RF,200,490,0.8756,0.6333,0.8326
1,50,rand2,SVM,200,490,0.8819,0.659,0.806
1,50,rand2,RF,200,490,0.8732,0.6168,0.785
1,50,rand3,SVM,200,490,0.9099,0.6419,0.7983
1,50,rand3,RF,200,490,0.8923,0.5725,0.7678
1,50,rand4,SVM,200,490,0.9077,0.6796,0.8283
1,50,rand4,RF,200,490,0.9038,0.6228,0.7835
1,100,first,SVM,395,295,0.7866,0.4744,0.5519
1,100,first,RF,395,295,0.5396,0.5046,0.6059
1,100,rand0,SVM,395,295,0.9056,0.4746,0.6307
1,100,rand0,RF,395,295,0.6421,0.4628,0.6538
1,100,rand1,SVM,395,295,0.692,0.5035,0.6006
1,100,rand1,RF,395,295,0.6928,0.5168,0.6604
1,100,rand2,SVM,395,295,0.9488,0.4863,0.6032
1,100,rand2,RF,395,295,0.6976,0.5335,0.6619
1,100,rand3,SVM,395,295,0.89,0.4815,0.5809
1,100,rand3,RF,395,295,0.6842,0.51,0.6087
1,100,rand4,SVM,395,295,0.9099,0.4942,0.6033
1,100,rand4,RF,395,295,0.6566,0.4658,0.6487
2,5,first,SVM,20,500,0.6973,0.875,0.875
2,5,first,RF,20,500,0.6007,0.8673,0.8719
2,5,rand0,SVM,20,500,0.7415,0.871,0.8746
2,5,rand0,RF,20,500,0.7042,0.8569,0.8624
2,5,rand1,SVM,20,500,0.6861,0.8782,0.8758
2,5,rand1,RF,20,500,0.7434,0.8648,0.867
2,5,rand2,SVM,20,500,0.8052,0.8744,0.8721
2,5,rand2,RF,20,500,0.7598,0.8608,0.861
2,5,rand3,SVM,20,500,0.754,0.8758,0.8829
2,5,rand3,RF,20,500,0.7745,0.8636,0.872
2,5,rand4,SVM,20,500,0.7622,0.874,0.8705
2,5,rand4,RF,20,500,0.7452,0.8593,0.8649
