model,N,draw,f1_A_subject_only,f1_B_crosssubject_zero_label,f1_C_crosssubject_plus_labels
RF,5,first,0.5438850000000001,0.77535,0.7827375
RF,5,rand0,0.6399825,0.7717725,0.7787124999999999
RF,5,rand1,0.6590275,0.77269,0.782365
RF,5,rand2,0.6424175,0.772995,0.7809875
RF,5,rand3,0.6516149999999999,0.7730275,0.7825675000000001
RF,5,rand4,0.6573575,0.772985,0.7800425
RF,10,first,0.61292,0.77464,0.7897775
RF,10,rand0,0.730795,0.77271,0.7889075
RF,10,rand1,0.7333525,0.7702825,0.78788
RF,10,rand2,0.73343,0.7726824999999999,0.78902
RF,10,rand3,0.7263175000000001,0.7732075,0.788415
RF,10,rand4,0.7350450000000001,0.7725424999999999,0.79051
RF,20,first,0.636275,0.7757575,0.8007574999999999
RF,20,rand0,0.799015,0.7718700000000001,0.8002225
RF,20,rand1,0.7985375,0.772415,0.801505
RF,20,rand2,0.7991825,0.77003,0.8002174999999999
RF,20,rand3,0.7922925000000001,0.77147,0.7991400000000001
RF,20,rand4,0.80528,0.77245,0.8028449999999999
RF,50,first,0.787955,0.7658775,0.8028549999999999
RF,50,rand0,0.8512175,0.7597375000000001,0.81554
RF,50,rand1,0.8424625000000001,0.7550625,0.8052575000000001
RF,50,rand2,0.8433325,0.75688,0.8068925
RF,50,rand3,0.8394275,0.75275,0.8054225
RF,50,rand4,0.848865,0.76108,0.8131275
RF,100,first,0.508295,0.50187,0.5207025
RF,100,rand0,0.5235475,0.4802525,0.49799249999999995
RF,100,rand1,0.5396025,0.466365,0.5047200000000001
RF,100,rand2,0.5327,0.4778325,0.52235
RF,100,rand3,0.51842,0.472895,0.5157
RF,100,rand4,0.5588325000000001,0.478495,0.5168975
SVM,5,first,0.5240549999999999,0.775175,0.7818674999999999
SVM,5,rand0,0.63263,0.77542,0.7808225
SVM,5,rand1,0.650755,0.7754274999999999,0.7832725
SVM,5,rand2,0.6352249999999999,0.7746225,0.7820875
SVM,5,rand3,0.6429425,0.7757,0.7830675
SVM,5,rand4,0.6476824999999999,0.77495,0.78152
SVM,10,first,0.60492,0.7733875,0.7847625
SVM,10,rand0,0.7382299999999999,0.7756350000000001,0.7908999999999999
SVM,10,rand1,0.731115,0.7734675,0.7881475
SVM,10,rand2,0.732255,0.7741075000000001,0.7874749999999999
SVM,10,rand3,0.714315,0.7767025000000001,0.79161
SVM,10,rand4,0.7333075,0.77593,0.7904525
SVM,20,first,0.6519225,0.7711574999999999,0.7913475
SVM,20,rand0,0.7963325,0.775265,0.8020425
SVM,20,rand1,0.7978799999999999,0.771375,0.7984275000000001
SVM,20,rand2,0.8048624999999999,0.769885,0.7975424999999999
SVM,20,rand3,0.79928,0.77178,0.7978175000000001
SVM,20,rand4,0.8039225,0.76998,0.7961825
SVM,50,first,0.772205,0.7553325,0.78829
SVM,50,rand0,0.85871,0.75241,0.80378
SVM,50,rand1,0.8526425,0.7513175000000001,0.8016574999999999
SVM,50,rand2,0.848365,0.7467425,0.795885
SVM,50,rand3,0.8484175,0.7442300000000001,0.794805
SVM,50,rand4,0.8583000000000001,0.74744,0.79692
SVM,100,first,0.492805,0.43759500000000007,0.4650175
SVM,100,rand0,0.5168825,0.441535,0.46525999999999995
SVM,100,rand1,0.533085,0.447485,0.47033500000000006
SVM,100,rand2,0.5208975,0.4406125,0.45865
SVM,100,rand3,0.541855,0.436315,0.45756250000000004
SVM,100,rand4,0.5340675,0.43553499999999995,0.455135
