subject,plain_base,plain_cd,nores_base,nores_cd,d_res_pp,d_nores_pp,interaction_pp
1,0.5537,0.6367,0.6559,0.6703,8.3,1.4427,6.8573
2,0.7991,0.8326,0.8397,0.8732,3.3499,3.347,0.0028
3,0.8154,0.9055,0.8365,0.8764,9.0138,3.9897,5.0241
4,0.7182,0.8479,0.8302,0.8682,12.9731,3.7965,9.1767
5,0.547,0.6591,0.5805,0.6631,11.2134,8.2591,2.9543
6,0.6302,0.7818,0.6991,0.7093,15.1623,1.0167,14.1456
7,0.7101,0.7828,0.6737,0.7535,7.2714,7.9841,-0.7127
8,0.769,0.8429,0.7328,0.8105,7.3884,7.7692,-0.3808
9,0.7814,0.7999,0.775,0.8098,1.8583,3.4813,-1.623
10,0.747,0.6943,0.6708,0.7642,-5.2701,9.3399,-14.61
11,0.835,0.9006,0.8488,0.8824,6.5592,3.3649,3.1944
12,0.7866,0.9024,0.8437,0.8943,11.5765,5.0607,6.5158
13,0.8396,0.916,0.8179,0.8849,7.6413,6.6973,0.944
14,0.8243,0.8335,0.7738,0.8226,0.9117,4.8805,-3.9688
15,0.8058,0.9124,0.8916,0.9005,10.6609,0.8842,9.7767
16,0.8315,0.8671,0.8516,0.8195,3.5607,-3.213,6.7736
17,0.8171,0.867,0.7777,0.8479,4.9895,7.0234,-2.0339
18,0.7576,0.8981,0.7539,0.8791,14.051,12.513,1.538
19,0.8096,0.8159,0.8284,0.829,0.6269,0.0571,0.5698
20,0.7518,0.8104,0.7206,0.7763,5.8579,5.5654,0.2925
21,0.7708,0.8629,0.7515,0.8644,9.2071,11.2925,-2.0854
22,0.6985,0.8086,0.7846,0.8344,11.0114,4.9858,6.0255
23,0.7707,0.8036,0.7398,0.8371,3.293,9.7309,-6.4379
24,0.6277,0.787,0.6036,0.7637,15.9369,16.0065,-0.0696
25,0.7566,0.8854,0.7488,0.8542,12.8807,10.5414,2.3393
26,0.7031,0.8044,0.7225,0.7888,10.1322,6.6303,3.5019
27,0.8382,0.9048,0.8816,0.9102,6.6554,2.8583,3.7971
28,0.7501,0.7963,0.8162,0.7883,4.6186,-2.7911,7.4097
29,0.7612,0.8482,0.8182,0.8367,8.7068,1.8455,6.8613
30,0.7513,0.8448,0.7852,0.8136,9.3519,2.8348,6.5171
31,0.7479,0.8046,0.751,0.7426,5.667,-0.8392,6.5062
32,0.7262,0.8069,0.8094,0.821,8.07,1.1587,6.9112
33,0.8994,0.8867,0.8653,0.8702,-1.2652,0.4877,-1.7528
34,0.8858,0.8972,0.8587,0.8866,1.1434,2.7912,-1.6478
35,0.6911,0.7228,0.703,0.7358,3.1709,3.2811,-0.1101
36,0.6901,0.6799,0.6254,0.7217,-1.0136,9.6248,-10.6384
37,0.8481,0.887,0.871,0.8789,3.889,0.7918,3.0972
38,0.8275,0.8237,0.8537,0.8175,-0.3835,-3.6233,3.2398
39,0.7696,0.837,0.7241,0.8029,6.738,7.8812,-1.1432
40,0.7543,0.8038,0.7551,0.7864,4.9454,3.1291,1.8163
