subject,noaug,chandrop,gainjitter,d_cd_pp,d_gain_pp,contrast_pp
1,0.5537,0.6367,0.5415,8.3,-1.2181,9.5181
2,0.7991,0.8326,0.876,3.3499,7.6949,-4.345
3,0.8154,0.9055,0.8998,9.0138,8.436,0.5778
4,0.7182,0.8479,0.8195,12.9731,10.1384,2.8347
5,0.547,0.6591,0.6466,11.2134,9.9638,1.2496
6,0.6302,0.7818,0.7701,15.1623,13.9889,1.1734
7,0.7101,0.7828,0.7443,7.2714,3.4152,3.8562
8,0.769,0.8429,0.8511,7.3884,8.2089,-0.8204
9,0.7814,0.7999,0.8448,1.8583,6.3478,-4.4895
10,0.747,0.6943,0.7776,-5.2701,3.0596,-8.3297
11,0.835,0.9006,0.9276,6.5592,9.262,-2.7027
12,0.7866,0.9024,0.9064,11.5765,11.9851,-0.4086
13,0.8396,0.916,0.92,7.6413,8.0346,-0.3933
14,0.8243,0.8335,0.8194,0.9117,-0.4951,1.4067
15,0.8058,0.9124,0.9143,10.6609,10.8516,-0.1907
16,0.8315,0.8671,0.8376,3.5607,0.6062,2.9545
17,0.8171,0.867,0.84,4.9895,2.2969,2.6927
18,0.7576,0.8981,0.8802,14.051,12.264,1.787
19,0.8096,0.8159,0.8477,0.6269,3.8097,-3.1828
20,0.7518,0.8104,0.8169,5.8579,6.5145,-0.6566
21,0.7708,0.8629,0.8333,9.2071,6.25,2.9571
22,0.6985,0.8086,0.8055,11.0114,10.6972,0.3142
23,0.7707,0.8036,0.8362,3.293,6.5543,-3.2614
24,0.6277,0.787,0.8096,15.9369,18.1888,-2.2519
25,0.7566,0.8854,0.8597,12.8807,10.3108,2.57
26,0.7031,0.8044,0.8037,10.1322,10.059,0.0732
27,0.8382,0.9048,0.8706,6.6554,3.2313,3.4241
28,0.7501,0.7963,0.8546,4.6186,10.4445,-5.8259
29,0.7612,0.8482,0.8569,8.7068,9.5732,-0.8664
30,0.7513,0.8448,0.8069,9.3519,5.5696,3.7823
31,0.7479,0.8046,0.7994,5.667,5.1483,0.5186
32,0.7262,0.8069,0.8542,8.07,12.8,-4.73
33,0.8994,0.8867,0.9084,-1.2652,0.9066,-2.1717
34,0.8858,0.8972,0.9219,1.1434,3.6104,-2.467
35,0.6911,0.7228,0.753,3.1709,6.1854,-3.0145
36,0.6901,0.6799,0.8247,-1.0136,13.4576,-14.4712
37,0.8481,0.887,0.8858,3.889,3.7683,0.1207
38,0.8275,0.8237,0.8723,-0.3835,4.4762,-4.8596
39,0.7696,0.837,0.8497,6.738,8.006,-1.268
40,0.7543,0.8038,0.8328,4.9454,7.8469,-2.9015
