key,value
total_windows,13643
n_subjects,40
n_movements,4
win_ms,250
overlap,0.5
min_label_conf,0.6
keep_only_active_stdup,True

# windows_by_movement
movement,count
UPS,4550
DNS,4069
WAK,3042
STDUP,1982


# windows_by_subject
subject,count
35,471
5,452
26,434
23,426
1,421
22,415
14,386
29,385
31,380
17,375
36,373
19,369
28,362
9,362
6,361
13,359
7,356
16,348
32,346
33,343
8,334
27,327
18,326
37,310
24,308
4,305
3,300
21,298
39,297
34,297
30,296
20,296
11,295
25,290
40,279
2,275
38,274
15,273
12,271
10,268
